date,tweets,image
2020-11-01 05:09:17,b'RT @himegamik: \xf0\x9f\xa6\x87\xf0\x9f\x8c\xb9Lolita Doll \xf0\x9f\x8e\x80\xf0\x9f\x8d\xac #\xe3\x83\xad\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xbf\xe3\x83\x95\xe3\x82\xa1\xe3\x83\x83\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3 https://t.co/dkFccYa6zK',http://pbs.twimg.com/media/EjKe8EUU8AAypcD.jpg

2020-11-01 05:07:39,b'Found this beautiful #lolita #cosplay dress on Vinted. I think I can make something similar and will certainly give\xe2\x80\xa6 https://t.co/TCC4ALaVIL',none

2020-11-01 05:07:20,b'RT @acme_chisa: \xf0\x9f\x8e\x83CHISA Lolita Halloween Cheki\xf0\x9f\x8e\x83\nA limited number of cheki sets will be available on the FAKE STAR Shop!\n5 cheki set for $50\xe2\x80\xa6',none

2020-11-01 05:06:50,b'I want to know if Kev had a ride on Lolita Express... https://t.co/MAkefix5HE',none

2020-11-01 05:06:08,b'RT @himegamik: \xf0\x9f\xa6\x87\xf0\x9f\x8c\xb9Lolita Doll \xf0\x9f\x8e\x80\xf0\x9f\x8d\xac #\xe3\x83\xad\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xbf\xe3\x83\x95\xe3\x82\xa1\xe3\x83\x83\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3 https://t.co/dkFccYa6zK',http://pbs.twimg.com/media/EjKe8EUU8AAypcD.jpg

2020-11-01 05:05:31,b'RT @EmirichuYT: Day 21: Elven\nCharacter: Star Guardian Janna (League of Legends)\n\nDay 29: Lolita \nCharacter: Celestia Ludenberg (Danganronp\xe2\x80\xa6',none

2020-11-01 05:03:50,b'ah i need a lolita blouse for that',none

2020-11-01 05:02:50,b'@Sadness14692322 can i give goth lolita sleeves and halloween items',none

2020-11-01 05:02:08,b'trading goth lolita sleeves!!\xf0\x9f\x98\x81',none

2020-11-01 05:00:17,b'@KamenSentai606 There goes the goth lolita',none

2020-11-01 04:59:56,b'@Lolita_Love93 NORMAN WINS. EVERY DAMN TIMEEEE\xf0\x9f\x92\x80',none

2020-11-01 04:59:51,b'SELLING THESE ITEMS :\nGOTH LOLITA SLEEVES = 30k-40k\nMAGICAL WITCH = 12k-15k\nMLR BODICE = 5k\nKITCHEN ACCIDENT = 5k\nA\xe2\x80\xa6 https://t.co/cY0NpmAZyl',none

2020-11-01 04:57:36,b'\xe2\x99\xa1Selling Items\xe2\x99\xa1\nItems:\n\xe2\x99\xa1DD Tea party bow: 5k\n\xe2\x99\xa1Lunar rat ears: 1k\n\xe2\x99\xa1Nom Nom waist floatie: 2k\n\xe2\x99\xa1Fuzzy Bracelets: 2k\n\xe2\x99\xa1M\xe2\x80\xa6 https://t.co/X954FprgvQ',none

2020-11-01 04:56:50,"b'@ngemma393 i have a parasol,nocturnal kitty ears, antilique horns, shadow empress crown, goth lolita sleeves, holdi\xe2\x80\xa6 https://t.co/ktAcQVITpF'",none

2020-11-01 04:54:35,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:54:16,"b'Me: HH18\nThem: HH20, Kitty Crossbody, Magical Broomstick, Magical Witch, Gothic Lolita Sleeves, Vampire Crown\n(Trad\xe2\x80\xa6 https://t.co/dF1r7TBabt'",none

2020-11-01 04:54:02,"b'RT @darkyjoe_: Halloween video call with @_nyanssu oc, Angkasa! Thank you Mir\xe2\x9c\xa8\xf0\x9f\x92\x9b finally they can meet each other\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\nAnw Rei agreed to do thi\xe2\x80\xa6'",none

2020-11-01 04:53:54,"b'RT @skpachauri11: BREAKING:\n\nIn compliance with JKHC order, Govt of J&amp;K issues order to cancel all actions/mutations/transfer of rights don\xe2\x80\xa6'",none

2020-11-01 04:53:21,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

